"","Codigo","Provincia","Municipio","Comarca","Tasainicial","LONGITUD_ETRS89","LATITUD_ETRS89","Indemnizacion","Valor_Prod","VIVO","Ind_VP2"
"56",11018,11,18,3,0.041518343,-5.32314518,36.85490181,4313.28,30885.81,6,0.139652481187963
"57",11034,11,34,3,0.041518343,-5.18313213,36.86116108,2821.08,1105635.81,12,0.00255154543158294
"58",11041,11,41,1,0.086940806,-5.64081376,36.86340796,1221960.71,14491540.62,12,0.0843223465359889
"59",11037,11,37,1,0.086940806,-6.17660584,36.86924138,234407.17,1795604.68,12,0.130544976080147
"60",11017,11,17,1,0.086940806,-5.80597479,36.87151829,1779043.22,17415795.91,12,0.102151129307762
"61",29048,29,48,1,0.085529839,-5.04657706,36.87520846,6251.89,31332.91,4,0.199531100047841
"62",29018,29,18,1,0.085529839,-4.84547635,36.87640909,837807.19,4683489.22,12,0.178885260677508
"63",4041,4,41,7,0,-2.60175846,36.8769393,0,92.34,1,0
"64",11005,11,5,3,0.041518343,-5.40470441,36.88076763,41913.75,1395967.02,12,0.0300248855449321
"65",18141,18,141,1,0.06402467,-3.10838867,36.88713958,0,15272.39,1,0
"66",29039,29,39,1,0.085529839,-4.42957972,36.89392649,0,14861.88,2,0
"67",18147,18,147,10,0.037401083,-3.42391088,36.90119925,129.93,106063.03,12,0.00122502628861348
"68",29043,29,43,1,0.085529839,-4.33648163,36.90317629,90.52,1065.13,1,0.0849849314168224
"69",11002,11,2,3,0.041518343,-5.17259873,36.90506622,10503.56,252946.23,10,0.0415248726972527
"70",11036,11,36,3,0.041518343,-5.23489912,36.91517638,706.78,21056.57,3,0.0335657706834494
"71",41053,41,53,5,0.130840702,-6.08085356,36.91958656,1659561.98,10161837.38,12,0.163313180278427
"72",11029,11,29,3,0.041518343,-5.54691548,36.92280153,64606.18,548032.28,11,0.117887544872357
"73",29079,29,79,4,0,-4.19045032,36.92659688,0,1644.23,1,0
"74",29902,29,902,1,0.085529839,-4.53056286,36.92952633,9396.39,77407.47,3,0.121388672178538
"75",18044,18,44,4,0.109847079,-3.25417487,36.93059265,100163.81,453635.84,12,0.220802240845873
"76",29093,29,93,3,0.066457079,-4.68249864,36.93133959,0,6245.45,2,0
"77",11024,11,24,3,0.041518343,-5.26815266,36.93513981,32418.44,693328.45,12,0.0467576947116478
"78",18151,18,151,2,0.149622578,-3.3612733,36.94022178,5652.57,29764.68,5,0.18990864339882
"79",18163,18,163,2,0.149622578,-3.31105821,36.94150881,7257.78,47254.12,12,0.153590417089557
"80",18112,18,112,2,0.149622578,-3.22511081,36.94814817,25267.08,61822.35,9,0.408704618960619
"81",29035,29,35,1,0.085529839,-5.02326403,36.95081213,414015.13,4484223.91,12,0.0923270421614607
"82",18077,18,77,1,0.06402467,-3.85692302,36.95424126,0,2433.7,3,0
"83",18020,18,20,7,0.031810654,-3.89435636,36.95781442,0,7744.28,2,0
"84",18182,18,182,7,0.031810654,-3.05407988,36.9628613,2844.73,226363.78,11,0.0125670723469983
"85",41035,41,35,6,0.089449445,-5.44095231,36.97092584,0,215427.24,4,0
"86",41076,41,76,6,0.089449445,-5.22174386,36.97277038,69381.57,295225.85,7,0.235011839241042
"87",18143,18,143,4,0.109847079,-3.53885018,36.9779234,2131269.62,10198505.78,12,0.208978615688935
