X;LONGITUD;LATITUD;Ind_VP2;Valor_Prod
1;-13.5515188;28.96023609;0.006761999;1.49E-05
2;-5.59945188;36.0189604;0.002728766;1.828866832
3;-5.91828263;36.19202922;0.019789346;0.189009739
4;-5.38401377;36.20999986;0.001910626;0.031780638
5;-5.97136125;36.2529047;0.013525209;2.703156248
6;-6.08856877;36.27458798;0.010825286;1.557866865
7;-5.42003;36.28605;0.001804661;0.503073077
8;-5.81029559;36.3433179;0.012233952;0.747923768
9;-6.14620494;36.41836916;0.021906367;4.467407255
10;-5.45548727;36.43225697;0.004398398;0.196773615
11;-5.27383141;36.44276754;0.003908861;0.017780108
12;-5.92469144;36.45604099;0.015241235;7.545983188
13;-5.72311956;36.46294815;0.01172705;2.164366037
14;-5.3148786;36.51729026;0.001581917;0.006790476
15;-5.86591723;36.52313758;0.030493622;0.34553277
16;-6.19016115;36.52891282;0.018519097;6.315854932
17;-6.22915634;36.60012378;0.023634208;4.939836224
18;-5.80077309;36.60534292;0.021542834;4.019203147
19;-6.36315877;36.62011111;0.029229722;0.792095975
20;-5.20258909;36.6337735;0.005639583;4.45E-05
21;-5.24535471;36.64036602;0.004038529;0.000294857
22;-4.68702469;36.64510025;0.055659061;0.03363181
23;-5.65719916;36.65594556;0.005277437;0.071207975
24;-4.75958685;36.65987005;0.039060961;1.04659735
25;-4.5604509;36.66314911;0.026258695;0.111601499
26;-6.1287534;36.70212746;0.028611543;91.01109146
27;-4.63171653;36.71005782;0.046978599;0.231816845
28;-5.25372291;36.71871118;0.006475949;0.009824464
29;-4.41997511;36.72034267;0.000659687;0.021810915
30;-4.85529513;36.72826442;0.027058076;0.118194932
31;-4.92100984;36.73128747;0.002982402;0.000812787
32;-5.25172599;36.73390878;0.000613863;0.01301166
33;-5.1654186;36.73725905;0.015752652;1.599376936
34;-6.44220215;36.73790677;0.004632415;0.018046302
35;-5.80640518;36.74821011;0.021331045;30.3062326
36;-5.50561856;36.75881857;0.004844071;0.025056414
37;-4.70872909;36.76719717;0.031335633;0.410624166
38;-4.03990708;36.77326211;0.007198097;0.000608729
39;-6.35311695;36.77598004;0.023400651;4.729019371
40;-4.84309805;36.78480634;0.032611432;0.850854385
41;-3.60797845;36.786737;0.009308288;0.833413391
42;-5.55753213;36.78745433;0.01138803;0.244890385
43;-3.40318791;36.78759064;0.022558374;0.181087238
44;-4.94538626;36.78802751;0.006101063;0.06525171
45;-3.29721867;36.79588888;0.000395146;0.000688033
46;-5.14178234;36.79859734;0.003903545;0.017429557
47;-3.63895096;36.79956445;0.021311041;1.521257433
48;-5.74570162;36.81705325;0.018756304;2.45375523
49;-4.70685543;36.82063001;0.027499703;0.567190435
50;-4.54115435;36.82473079;0.032615927;0.318328381
51;-3.51588102;36.8327141;0.063641374;0.089852497
52;-3.67446558;36.83558871;0.007101879;0.277155909
53;-5.39031673;36.84027651;0.048960541;0.196582178
54;-6.03991511;36.85104185;0.038850488;1.818135602
55;-4.82065129;36.85384356;0.020946214;0.009214369
56;-5.32314518;36.85490181;0.03532715;0.025578311
57;-5.18313213;36.86116108;0.006103799;0.915640422
58;-5.64081376;36.86340796;0.026677843;12.00127588
59;-6.17660584;36.86924138;0.031339765;1.487043213
60;-5.80597479;36.87151829;0.028494947;14.42301939
61;-5.04657706;36.87520846;0.041402259;0.02594858
62;-4.84547635;36.87640909;0.037643623;3.878666021
63;-2.60175846;36.8769393;0.009975849;7.65E-05
