ID;Municipio;Direccion;Longitud;Latitud;Rotulo;Rotulo2;Casos;Media;DesT;CVP;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31;Dia32;Dia33;Dia34;Dia35;Dia36;Dia37;Dia38;Dia39
13;LORCA                    ;AUTOVIA LORCA -AGUILAS KM. 0.800;-1.701500;37.647306;EL REMOLINO;OTRO;1;1.188744;0.021060;0.017716;1.209;1.209;1.209;1.209;1.209;1.169;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.169;1.169;1.169;1.169;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159
14;ALHAMA DE MURCIA         ;AUTOVIA RM-2 KM. 41.7;-1.387250;37.808306;SHELL EL GUADALENTIN;SHELL;1;1.191051;0.022891;0.019219;1.199;1.199;1.199;1.209;1.209;1.149;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.179;1.179;1.179;1.179;1.179;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169
15;MAZARRON                 ;AUTOVIA RM-3 SALIDA 22 KM. 49;-1.342639;37.624556;BP;BP;1;1.210615;0.022888;0.018906;1.215;1.215;1.215;1.219;1.219;1.214;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.229;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179
16;SAN JAVIER               ;AUTOVIA SAN JAVIER-SUCINA KM. 35.9;-0.879944;37.852472;EL PORRAS;OTRO;1;1.121051;0.019635;0.017515;1.119;1.119;1.119;1.119;1.119;1.239;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.099;1.099
17;MOLINA DE SEGURA         ;AV. CIUDAD DEL TRANSPORTE. S/N;-1.223139;38.077250;FROET-GAS;OTRO;1;1.083718;0.029194;0.026939;1.086;1.086;1.086;1.091;1.091;1.229;1.104;1.104;1.104;1.104;1.104;1.104;1.104;1.104;1.104;1.104;1.104;1.071;1.071;1.071;1.071;1.071;1.071;1.071;1.058;1.058;1.068;1.068;1.068;1.068;1.068;1.068;1.068;1.068;1.059;1.059;1.059;1.059;1.059
18;MURCIA                   ;AV. JUANA JUGAN. 26 (CRUCE AV. MIGUEL INDURAIN);-1.111000;37.989667;E.LECLERC INFANTE;OTRO;1;1.110795;0.021258;0.019138;1.129;1.129;1.129;1.129;1.129;1.169;1.129;1.129;1.129;1.124;1.124;1.124;1.124;1.124;1.124;1.129;1.129;1.129;1.129;1.129;1.129;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089
19;SAN PEDRO DEL PINATAR    ;AV.GENERALISINO. 169;-0.787056;37.822722;GASPAGAN;OTRO;1;1.141051;0.012645;0.011082;1.139;1.139;1.139;1.139;1.139;1.219;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139
20;MURCIA                   ;AVD. REGION MURCIANA. 1;-1.111667;37.981778;SHELL;SHELL;1;1.121410;0.032289;0.028793;1.144;1.124;1.124;1.119;1.134;1.238;1.154;1.159;1.159;1.159;1.154;1.144;1.144;1.144;1.144;1.144;1.134;1.134;1.129;1.129;1.129;1.129;1.129;1.099;1.089;1.089;1.094;1.094;1.094;1.094;1.079;1.079;1.079;1.079;1.094;1.094;1.094;1.094;1.089
21;MAZARRON                 ;AVDA DE LOS COVACHOS S/N - URBANIZACIÓN CAMPOSOL;-1.339944;37.677083;GALP;GALP;1;1.209564;0.021721;0.017957;1.219;1.219;1.219;1.209;1.215;1.235;1.229;1.239;1.239;1.239;1.239;1.249;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179
22;ROLDAN                   ;AVDA DE MURCIA. 26;-1.010109;37.798712;REPSOL;REPSOL;1;1.187000;0.023759;0.020016;1.199;1.199;1.199;1.205;1.209;1.235;1.229;1.229;1.229;1.229;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.199;1.189;1.179;1.179;1.179;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159
23;TORRES DE COTILLAS (LAS) ;AVDA. INDUSTRIA 64H - POLIG. IND. SAN JORGE;-1.253556;38.035083;GALP;GALP;1;1.148231;0.025052;0.021818;1.159;1.159;1.159;1.189;1.179;1.229;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.159;1.159;1.159;1.139;1.139;1.139;1.139;1.129;1.129;1.139;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.129;1.129;1.129;1.129;1.119
24;APARECIDA (LA)           ;AVDA. SAN JAVIER. S/N;-0.953750;37.667056;ROYMAGA PETROLEOS S.L.;OTRO;1;1.143103;0.018497;0.016182;1.159;1.159;1.159;1.149;1.149;1.209;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.119;1.119;1.119;1.119;1.119;1.119;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129
