ID;Municipio;Direccion;Longitud;Latitud;Rotulo;Rotulo2;Casos;Media;DesT;CVP;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31;Dia32;Dia33;Dia34;Dia35;Dia36;Dia37;Dia38;Dia39
46;ALCANTARILLA             ;AVENIDA FERNANDO III EL SANTO. S/N;-1.233028;37.976583;GALP;GALP;1;1.162282;0.019462;0.016745;1.164;1.164;1.164;1.195;1.179;1.199;1.184;1.184;1.184;1.178;1.177;1.187;1.187;1.185;1.185;1.185;1.174;1.177;1.156;1.149;1.149;1.149;1.149;1.141;1.153;1.162;1.158;1.158;1.158;1.158;1.142;1.142;1.137;1.137;1.138;1.138;1.138;1.138;1.127
47;SAN GINES                ;AVENIDA FUENTE ALAMO. 1;-1.194639;37.945778;FROET-GAS;OTRO;1;1.083205;0.026708;0.024656;1.086;1.086;1.086;1.091;1.091;1.209;1.104;1.104;1.104;1.104;1.104;1.104;1.104;1.104;1.104;1.104;1.104;1.071;1.071;1.071;1.071;1.071;1.071;1.071;1.058;1.058;1.068;1.068;1.068;1.068;1.068;1.068;1.068;1.068;1.059;1.059;1.059;1.059;1.059
48;ALHAMA DE MURCIA         ;AVENIDA GINES CAMPOS. 7;-1.420417;37.848694;REPSOL;REPSOL;1;1.195154;0.027420;0.022943;1.209;1.209;1.209;1.219;1.229;1.239;1.239;1.239;1.239;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.169;1.159;1.159;1.159;1.159;1.159;1.159;1.169;1.169;1.169;1.169;1.169;1.169;1.169
49;SAN JAVIER               ;AVENIDA GRAN VIA. SN;-0.730861;37.673500;REPSOL;REPSOL;1;1.203103;0.020720;0.017222;1.209;1.209;1.209;1.219;1.229;1.249;1.239;1.239;1.239;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.199;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.189;1.189;1.189;1.189;1.189
50;MOLINA DE SEGURA         ;AVENIDA GUTIERREZ MELLADO S/N. S/N;-1.202139;38.068472;BP;BP;1;1.186128;0.024766;0.020879;1.198;1.198;1.198;1.198;1.209;1.239;1.209;1.209;1.209;1.209;1.219;1.219;1.209;1.209;1.209;1.209;1.209;1.209;1.198;1.188;1.188;1.188;1.188;1.169;1.169;1.169;1.158;1.158;1.158;1.158;1.148;1.148;1.158;1.158;1.158;1.158;1.158;1.158;1.158
51;GUADALUPE DE MACIASCOQUE ;AVENIDA JERONIMOS  EN  GUADALUPE. 160;-1.176611;37.995639;REPSOL;REPSOL;1;1.202487;0.019069;0.015858;1.209;1.209;1.209;1.219;1.229;1.215;1.239;1.239;1.239;1.229;1.209;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.189;1.189;1.189;1.189;1.189;1.189;1.179
52;CANTERAS                 ;AVENIDA JOSE LUIS MESEGUER S/N;-1.035639;37.611500;BP;BP;1;1.168462;0.019128;0.016370;1.159;1.159;1.159;1.169;1.179;1.203;1.199;1.199;1.199;1.199;1.199;1.179;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.159;1.159;1.159;1.159;1.159;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.154;1.154;1.154;1.154;1.154
53;SAN ANTONIO ABAD         ;AVENIDA JUAN CARLOS I. 2;-0.997917;37.621028;REPSOL;REPSOL;1;1.201821;0.020248;0.016848;1.209;1.209;1.209;1.219;1.229;1.229;1.239;1.239;1.239;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.189;1.189;1.189;1.189;1.189;1.189;1.199;1.199;1.179;1.179;1.179;1.179;1.179;1.179;1.189;1.189;1.179;1.179;1.179;1.179;1.179
54;CARTAGENA   ;AVENIDA JUAN CARLOS I. 85;-1.003167;37.628861;BP;BP;1;1.161436;0.020282;0.017463;1.149;1.149;1.149;1.159;1.169;1.229;1.189;1.189;1.189;1.189;1.189;1.169;1.179;1.179;1.179;1.179;1.179;1.179;1.169;1.149;1.149;1.149;1.149;1.149;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.154;1.154;1.154;1.154;1.154;1.154;1.154
55;TORRE-PACHECO            ;AVENIDA JUAN CARLOS I. S/N;-0.949083;37.741972;REPSOL;REPSOL;1;1.185359;0.022568;0.019039;1.199;1.199;1.199;1.205;1.209;1.171;1.229;1.229;1.229;1.229;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.199;1.189;1.179;1.179;1.179;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159
56;ALCAZARES (LOS)          ;AVENIDA LIBERTAD (DE LA). 138;-0.848194;37.747028;LO SOLA;OTRO;1;1.206949;0.022093;0.018305;1.209;1.209;1.209;1.199;1.199;1.249;1.199;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
57;TORRES DE COTILLAS (LAS) ;AVENIDA LOS REYES CATOLICOS;-1.262442;38.024851;LOS VIENTOS;OTRO;1;1.213308;0.001897;0.001563;1.213;1.213;1.213;1.213;1.213;1.225;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213;1.213
58;MURCIA                   ;AVENIDA MARIANO ROJAS. 2;-1.143917;37.999778;EUROPETROL;OTRO;1;1.183487;0.022066;0.018645;1.189;1.189;1.189;1.169;1.169;1.239;1.169;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.149;1.149;1.149;1.149;1.169;1.169;1.169;1.169;1.169
59;ARCHENA                  ;AVENIDA MARIO SPREAFICO. 38;-1.285417;38.116861;REPSOL;REPSOL;1;1.175436;0.021038;0.017898;1.179;1.179;1.179;1.179;1.179;1.239;1.196;1.196;1.196;1.196;1.196;1.196;1.196;1.196;1.196;1.196;1.196;1.196;1.196;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.159;1.159;1.159;1.159;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149
60;DOLORES                  ;AVENIDA MARQUES DE ROZALEJO. S./N.;-0.872833;37.783000;REPSOL;REPSOL;1;1.204641;0.022280;0.018495;1.209;1.209;1.209;1.219;1.229;1.239;1.239;1.239;1.239;1.229;1.219;1.229;1.229;1.229;1.229;1.229;1.229;1.219;1.209;1.199;1.199;1.199;1.199;1.199;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
61;UNION (LA)               ;AVENIDA MEDITERRANEO. 4;-0.876667;37.622083;REPSOL;REPSOL;1;1.205051;0.020449;0.016969;1.209;1.209;1.209;1.209;1.219;1.205;1.239;1.239;1.239;1.239;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.219;1.209;1.199;1.199;1.199;1.199;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.189;1.189;1.189;1.189;1.189;1.189;1.179
62;UNION (LA)               ;AVENIDA MEDITERRANEO. 4;-0.877000;37.621722;REPSOL;REPSOL;1;1.204974;0.020454;0.016975;1.209;1.209;1.209;1.209;1.219;1.202;1.239;1.239;1.239;1.239;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.219;1.209;1.199;1.199;1.199;1.199;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.189;1.189;1.189;1.189;1.189;1.189;1.179
63;MURCIA                   ;AVENIDA MIGUEL ANGEL CERVANTES. 106;-1.143417;38.000722;CARREFOUR;OTRO;1;1.161897;0.026516;0.022822;1.169;1.169;1.169;1.179;1.189;1.202;1.199;1.199;1.199;1.199;1.199;1.199;1.189;1.189;1.189;1.189;1.189;1.179;1.159;1.149;1.149;1.149;1.149;1.139;1.139;1.139;1.129;1.129;1.129;1.129;1.129;1.129;1.139;1.139;1.139;1.139;1.139;1.139;1.139
64;MURCIA                   ;AVENIDA MIGUEL DE CERVANTES. 50;-1.142528;37.996361;REPSOL;REPSOL;1;1.203256;0.026742;0.022224;1.209;1.209;1.209;1.219;1.235;1.139;1.249;1.249;1.249;1.239;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.209;1.179;1.179;1.179;1.179;1.179;1.179;1.189;1.169;1.169;1.169;1.169;1.189;1.189;1.189;1.189;1.199;1.199;1.199;1.199;1.189
65;JUMILLA                  ;AVENIDA MURCIA (DE). S/N;-1.307833;38.467389;LIBRE;OTRO;1;1.214359;0.019717;0.016236;1.229;1.229;1.229;1.235;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.229;1.229;1.229;1.221;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.190;1.199;1.199;1.199;1.199;1.199;1.199;1.189;1.189;1.199;1.199;1.189;1.189;1.189;1.189;1.169
66;YECLA                    ;AVENIDA PAZ. 225;-1.139972;38.610361;OIL BAROL SL;OTRO;1;1.152282;0.014068;0.012208;1.150;1.150;1.150;1.150;1.150;1.239;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150;1.150
67;SAN JAVIER               ;AVENIDA PINATAR. 20;-0.819000;37.816917;RHR ;OTRO;1;1.102846;0.023709;0.021498;1.099;1.099;1.099;1.099;1.099;1.249;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099
68;CARTAGENA                ;AVENIDA PINTOR PORTELA. 42;-0.971778;37.611861;PETRONOR;OTRO;1;1.194538;0.021827;0.018272;1.199;1.199;1.199;1.209;1.215;1.199;1.229;1.229;1.229;1.229;1.219;1.229;1.219;1.219;1.219;1.219;1.219;1.209;1.199;1.179;1.179;1.179;1.179;1.169;1.179;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.179;1.179;1.179;1.179;1.179;1.179;1.169
69;PALMAR O LUGAR D. JUAN   ;AVENIDA PRIMERO DE MAYO. 95;-1.157806;37.936667;REPSOL;REPSOL;1;1.216590;0.021726;0.017858;1.229;1.229;1.229;1.229;1.239;1.225;1.249;1.249;1.249;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.229;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.189;1.189;1.189;1.189;1.199;1.199;1.189;1.189;1.189;1.189;1.189;1.189;1.189
70;MURCIA                   ;AVENIDA PRIMERO DE MAYO. PARCELA 7. POLIGONO 1-A. 7;-1.118056;37.990361;CEPSA;CEPSA;1;1.186692;0.025289;0.021311;1.199;1.195;1.195;1.215;1.209;1.239;1.219;1.219;1.219;1.219;1.219;1.215;1.209;1.209;1.209;1.209;1.209;1.209;1.194;1.179;1.179;1.169;1.169;1.165;1.164;1.169;1.159;1.159;1.159;1.169;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159
71;MURCIA                   ;AVENIDA PRIMERO DE MAYO. S/N;-1.115417;37.987639;REPSOL;REPSOL;1;1.190795;0.024059;0.020204;1.199;1.189;1.189;1.209;1.209;1.209;1.229;1.229;1.229;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.189;1.179;1.179;1.179;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.159;1.159;1.159;1.169;1.169;1.169;1.169;1.169;1.169;1.169
72;ABANILLA;AVENIDA REGION DE MURCIA. 30;-1.042250;38.203556;ER RENESUR;OTRO;1;1.156692;0.011427;0.009879;1.159;1.159;1.159;1.159;1.159;1.209;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.139;1.139;1.139;1.139;1.139;1.139;1.139
73;DOLORES (LOS)            ;AVENIDA REGION MURCIANA. 140;-1.096111;37.982639;GALP;GALP;1;1.190179;0.026873;0.022579;1.219;1.219;1.219;1.204;1.225;1.128;1.219;1.219;1.219;1.219;1.219;1.229;1.219;1.219;1.219;1.219;1.209;1.209;1.209;1.179;1.179;1.179;1.179;1.169;1.165;1.169;1.159;1.159;1.159;1.159;1.159;1.159;1.179;1.179;1.169;1.169;1.169;1.169;1.169
74;MURCIA                   ;AVENIDA RONDA LEVANTE. SN;-1.119639;37.990778;REPSOL;REPSOL;1;1.200026;0.025600;0.021333;1.199;1.199;1.199;1.219;1.229;1.229;1.239;1.239;1.239;1.239;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.219;1.199;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.179;1.179;1.179;1.179;1.179;1.179;1.169
75;CARTAGENA                ;AVENIDA SANCHEZ MECA. SN;-0.968417;37.595556;REPSOL;REPSOL;1;1.194077;0.022316;0.018689;1.199;1.199;1.199;1.199;1.215;1.209;1.229;1.229;1.229;1.229;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.199;1.179;1.179;1.179;1.179;1.165;1.165;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.179;1.179;1.179;1.179;1.179;1.179;1.169
76;ESPINARDO;C.N. 301 MADRID-CARTAGENA km 389.688;-1.159500;38.018806;BP;BP;1;1.177821;0.026612;0.022594;1.194;1.194;1.194;1.194;1.194;1.209;1.194;1.103;1.103;1.103;1.203;1.203;1.203;1.203;1.203;1.203;1.203;1.203;1.188;1.188;1.188;1.188;1.188;1.188;1.188;1.171;1.171;1.171;1.171;1.171;1.162;1.162;1.162;1.162;1.162;1.162;1.162;1.162;1.162
77;MURCIA                   ;C/ PROLONGACION CARRIL DE LA IGLESIA. S/N km CENTRO COMERCIAL M;-1.134583;37.960306;SHELL;SHELL;1;1.165795;0.023328;0.020011;1.199;1.199;1.199;1.199;1.199;1.209;1.189;1.189;1.189;1.189;1.174;1.174;1.174;1.174;1.174;1.174;1.174;1.174;1.174;1.174;1.174;1.174;1.174;1.159;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139
78;CARTAGENA   ;C/SUSPIRO S/N;-1.004361;37.631694;APARCADOLORES;OTRO;1;1.119667;0.020341;0.018167;1.129;1.129;1.129;1.129;1.129;1.209;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.119;1.119;1.108;1.098;1.098;1.098;1.098;1.098;1.098;1.098;1.098;1.098;1.098;1.098;1.098;1.098
79;SAN GINES                ;C/URUGUAY PARCELA 23/10 POLIGONO INDUSTRIAL OESTE;-1.185028;37.954972;ADANSE SERVIAUTO;OTRO;1;1.189256;0.014934;0.012557;1.219;1.199;1.199;1.199;1.199;1.209;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.179;1.179;1.179;1.179;1.179;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.159;1.159
80;YECLA                    ;C-3223 km 1;-1.100861;38.607000;LAS BALSILLAS I;OTRO;1;1.190231;0.014312;0.012025;1.185;1.185;1.185;1.189;1.199;1.219;1.219;1.219;1.219;1.219;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.199;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
81;YECLA                    ;C-3314 Km. 64.9;-1.102611;38.614667;GALP;GALP;1;1.184821;0.007092;0.005986;1.178;1.178;1.178;1.174;1.189;1.204;1.188;1.188;1.188;1.188;1.198;1.198;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.193;1.193;1.193;1.193;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
83;CEUTI                    ;CALLE ARCHENA. 97;-1.275111;38.084889;REPSOL;REPSOL;1;1.202333;0.009428;0.007841;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189
84;TOTANA                   ;CALLE BALSON DE GUILLEN - SA. 1;-1.456167;37.776083;OLIMPIA;OTRO;1;1.228459;0.003243;0.002640;1.229;1.229;1.229;1.229;1.229;1.209;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229
85;CARTAGENA                ;CALLE BLAS DE OTERO. 2;-0.984167;37.616861;E.S. TRAZOIL;OTRO;1;1.168513;0.027133;0.023220;1.189;1.189;1.189;1.189;1.189;1.230;1.189;1.189;1.189;1.189;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.179;1.179;1.149;1.149;1.149;1.149;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.149;1.149;1.149;1.149;1.149
86;TORRECIEGA               ;CALLE BUDAPEST. 129;-0.954639;37.623444;ROYMAGA PETROLEOS.SL;OTRO;1;1.147974;0.016454;0.014333;1.159;1.159;1.159;1.159;1.159;1.159;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129
87;CIEZA                    ;CALLE CAMINO DE MURCIA. 182;-1.409056;38.236833;CEPSA;CEPSA;1;1.187923;0.019431;0.016357;1.199;1.199;1.199;1.225;1.219;1.228;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.184;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.165;1.165;1.165;1.159;1.159
88;IFRE-CAÑADA DE GALLEGO   ;CALLE CAMINO REAL. 7;-1.379083;37.560833;BP;BP;1;1.226590;0.017751;0.014472;1.235;1.235;1.235;1.235;1.235;1.199;1.235;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.229;1.229;1.229;1.229;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.189;1.189
89;FUENTE ALAMO             ;CALLE ESPINA. S/N;-1.164889;37.723667;CEPSA;CEPSA;1;1.190615;0.023067;0.019374;1.195;1.199;1.199;1.225;1.215;1.159;1.225;1.225;1.225;1.219;1.219;1.219;1.219;1.215;1.215;1.215;1.214;1.214;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.184;1.169;1.169;1.169;1.169;1.164;1.164;1.165;1.165;1.169;1.169;1.169;1.165;1.165
90;ALBUJON                  ;CALLE GENERAL MOSCARDO. 15;-1.047083;37.716389;E.S.MOLERO S.A.;OTRO;1;1.146744;0.016900;0.014738;1.158;1.158;1.158;1.158;1.158;1.199;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128
91;MANGA DEL MAR MENOR (LA) ;CALLE GRAN VIA MANGA  EN  CARTAGENA. S/N;-0.743194;37.747639;PALUSOIL;OTRO;1;1.232529;0.021261;0.017250;1.259;1.259;1.259;1.259;1.259;1.163;1.259;1.259;1.259;1.259;1.259;1.259;1.259;1.259;1.259;1.245;1.245;1.245;1.245;1.245;1.245;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219
92;PALMA (LA)               ;CALLE MARCONA. 21;-0.955028;37.683500;REPSOL;REPSOL;1;1.201026;0.020582;0.017137;1.209;1.209;1.209;1.219;1.229;1.158;1.239;1.239;1.239;1.229;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.189;1.189;1.189;1.189;1.189;1.189;1.199;1.199;1.189;1.189;1.189;1.179;1.179;1.179;1.189;1.189;1.179;1.179;1.179;1.179;1.179
93;MURCIA                   ;CALLE MAYOR. 12;-1.108583;37.990778;GALP;GALP;1;1.189462;0.030041;0.025256;1.189;1.189;1.189;1.189;1.189;1.087;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.219;1.219;1.209;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.159;1.159;1.159;1.159;1.159;1.159;1.169;1.169;1.169;1.169;1.169;1.169;1.169
94;GARRES (LOS)             ;CALLE MAYOR. 77;-1.197528;37.989722;EL LIMONAR;OTRO;1;1.155667;0.021148;0.018299;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.149;1.149;1.149;1.149;1.149;1.149;1.149
95;UNION (LA)               ;CALLE MINA BUENA SUERTE-BOLA. 1;-0.900667;37.628111;REPSOL;REPSOL;1;1.205923;0.021502;0.017830;1.209;1.209;1.209;1.209;1.219;1.249;1.239;1.239;1.239;1.239;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.209;1.209;1.199;1.199;1.199;1.199;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.189;1.189;1.189;1.189;1.189;1.189;1.179
96;MURCIA                   ;CALLE MOLINA DE SEGURA. S/N;-1.111944;37.992639;CARREFOUR;OTRO;1;1.150051;0.026164;0.022750;1.159;1.159;1.159;1.169;1.179;1.120;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.169;1.149;1.139;1.139;1.139;1.139;1.129;1.129;1.129;1.119;1.119;1.119;1.119;1.119;1.119;1.129;1.129;1.129;1.129;1.129;1.129;1.129
97;LORQUI                   ;CALLE NUEVOS ACCESOS. S/N;-1.237778;38.098639;REPSOL;REPSOL;1;1.202077;0.009379;0.007802;1.209;1.209;1.209;1.209;1.209;1.199;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189
98;CARTAGENA                ;CALLE PASEO ALFONSO XIII. SN;-0.971861;37.607639;REPSOL;REPSOL;1;1.192846;0.022144;0.018564;1.199;1.199;1.199;1.199;1.199;1.159;1.229;1.229;1.229;1.229;1.219;1.229;1.219;1.219;1.219;1.219;1.219;1.209;1.199;1.179;1.179;1.179;1.179;1.169;1.179;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.179;1.179;1.179;1.179;1.179;1.179;1.169
99;FORTUNA                  ;CALLE POL. INDUST. FORTUNA. C/ APOLO. 10;-1.124722;38.149417;RENESUR GR;OTRO;1;1.157154;0.013673;0.011816;1.159;1.159;1.159;1.159;1.159;1.227;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.139;1.139;1.139;1.139;1.139;1.139;1.139
100;VEREDA (LA)              ;CALLE PROLONG. JUAN FERNANDEZ. 43;-0.988333;37.620194;REPSOL;REPSOL;1;1.193000;0.023508;0.019705;1.199;1.199;1.199;1.209;1.215;1.139;1.229;1.229;1.229;1.229;1.219;1.229;1.219;1.219;1.219;1.219;1.219;1.209;1.199;1.179;1.179;1.179;1.179;1.169;1.179;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.179;1.179;1.179;1.179;1.179;1.179;1.169
101;IMBERNONES (LOS)         ;CALLE PUERTO (EL). SN;-0.775833;37.844444;REPSOL;REPSOL;1;1.233077;0.022253;0.018047;1.229;1.229;1.229;1.249;1.259;1.148;1.269;1.269;1.269;1.269;1.249;1.249;1.249;1.249;1.249;1.249;1.249;1.249;1.239;1.239;1.239;1.229;1.229;1.229;1.229;1.229;1.219;1.219;1.219;1.209;1.209;1.209;1.219;1.219;1.219;1.219;1.219;1.219;1.219
102;AGUILAS                  ;CALLE REY CARLOS III.. 31;-1.584694;37.403944;ANIBAL;OTRO;1;1.182000;0.020370;0.017233;1.203;1.203;1.203;1.203;1.203;1.207;1.203;1.203;1.203;1.203;1.203;1.203;1.203;1.203;1.203;1.203;1.196;1.196;1.196;1.183;1.183;1.168;1.168;1.163;1.163;1.163;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159
103;SANGONERA LA SECA;CALLE RÍO SECO. 99;-1.216778;37.956667;E.LECLERC HIPERMERCADO;OTRO;1;1.112077;0.025761;0.023164;1.129;1.129;1.129;1.129;1.129;1.219;1.129;1.129;1.129;1.124;1.124;1.124;1.124;1.124;1.124;1.129;1.129;1.129;1.129;1.129;1.129;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089;1.089
104;CARTAGENA   ;CALLE SAN JUAN BOSCO ( LOS DOLORES). S/N;-1.007556;37.635278;E.S. MOLERO S.A.;OTRO;1;1.146231;0.015557;0.013572;1.158;1.158;1.158;1.158;1.158;1.179;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128
105;CARTAGENA                ;CALLE SEBASTIAN FERINGAN. S/N;-1.000722;37.615750;SHELL;SHELL;1;1.195256;0.029624;0.024785;1.207;1.207;1.207;1.207;1.207;1.059;1.207;1.227;1.227;1.227;1.227;1.227;1.227;1.227;1.227;1.227;1.217;1.207;1.207;1.197;1.197;1.197;1.197;1.197;1.177;1.177;1.177;1.177;1.177;1.177;1.177;1.177;1.177;1.177;1.177;1.177;1.177;1.177;1.177
